nanoTime,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp,Frame
1657854125695,2158,1918,2045,1541,3862,0.0023030664,0.03178322,1.6964948,472,3510,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1657919105367,3835,2713,3235,3158,3411,0.002164602,0.032878973,1.5834185,711,3319,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,2
1657984225093,3294,3899,3887,3870,2578,0.002132365,0.03543285,1.4579827,1005,3136,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,1
1658049197025,2667,3370,3058,3027,1817,0.0024716952,0.03842796,1.3420137,1291,2981,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1658113607220,2155,2947,2898,2774,1727,0.0032596763,0.04181189,1.2465563,1548,2875,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1658178633780,2462,3124,3067,2883,2103,0.004520545,0.04556334,1.1655622,1788,2807,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1658243164975,2930,3482,3503,3228,2393,0.0058177277,0.04858724,1.1142833,1957,2781,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1658308197239,3290,3411,3507,3256,3275,0.00723777,0.051478717,1.0769418,2098,2780,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,1
1658376496214,2357,2720,2831,2408,2362,0.008622977,0.05405178,1.0440708,2224,2781,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1658438269378,2218,2699,2830,2315,2149,0.010172969,0.056717165,1.0088332,2358,2781,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1658503198254,2228,2671,2778,2310,2144,0.012122419,0.059813064,0.9670212,2517,2781,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,1
1658567187120,2001,2671,3156,2162,1928,0.014905021,0.06384762,0.911009,2730,2781,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1658632266940,2117,3167,2803,2731,1793,0.019136153,0.06930176,0.8321186,3030,2781,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1658697203132,2287,2408,2528,2115,2597,0.024744507,0.07546027,0.7369241,3392,2781,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,1
1658762290379,2118,2479,2575,2113,2167,0.03006086,0.08028467,0.6548781,3704,2781,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1658832239266,2298,2658,2701,2375,2311,0.03378376,0.0831436,0.58545446,3938,2751,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1658894625185,2223,2633,2813,2353,1969,0.034128956,0.083372466,0.50077873,12,2599,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,1
1658957226676,2226,2750,3059,2413,1722,0.0333014,0.08291953,0.41636595,152,2418,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,0
1659022281330,2225,2999,3273,2590,1651,0.032207116,0.082435615,0.33379394,283,2235,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1659086231604,2603,3154,3378,2834,2379,0.031033171,0.08202853,0.2522738,411,2053,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,1
1659151245388,2696,3177,3396,2887,2506,0.0308772,0.08198833,0.15944603,584,1873,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1659220717595,2702,3166,3385,2875,2571,0.032331143,0.082222134,0.058992207,807,1714,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1659281284697,2639,3126,3353,2840,2532,0.038188413,0.08256807,-0.05382113,1149,1627,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1659346577163,2596,3068,3279,2787,2342,0.045885503,0.0821534,-0.15033044,1500,1611,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
